year,month,day,weight,pollutant-name
2014,01,01,9,0.026
2014,01,01,9,0.026
2014,01,01,9,0.026
2014,01,01,9,0.026
2014,01,02,23,0.017
2014,01,02,23,0.017
2014,01,02,23,0.017
2014,01,02,23,0.017
2014,01,03,9,0.035
2014,01,03,9,0.035
2014,01,03,9,0.035
2014,01,03,9,0.035
2014,01,04,10,0.03
2014,01,04,10,0.03
2014,01,04,10,0.03
2014,01,04,10,0.03
2014,01,05,23,0.023
2014,01,05,23,0.023
2014,01,05,23,0.023
2014,01,05,23,0.023
2014,01,06,20,0.034
2014,01,06,20,0.034
2014,01,06,20,0.034
2014,01,06,20,0.034
2014,01,07,0,0.032
2014,01,07,0,0.032
2014,01,07,0,0.032
2014,01,07,0,0.032
2014,01,08,10,0.02
2014,01,08,10,0.02
2014,01,08,10,0.02
2014,01,08,10,0.02
2014,01,09,10,0.029
2014,01,09,10,0.029
2014,01,09,10,0.029
2014,01,09,10,0.029
2014,01,10,0,0.019
2014,01,10,0,0.019
2014,01,10,0,0.019
2014,01,10,0,0.019
2014,01,11,23,0.029
2014,01,11,23,0.029
2014,01,11,23,0.029
2014,01,11,23,0.029
2014,01,12,8,0.033
2014,01,12,8,0.033
2014,01,12,8,0.033
2014,01,12,8,0.033
2014,01,13,10,0.029
2014,01,13,10,0.029
2014,01,13,10,0.029
2014,01,13,10,0.029
2014,01,14,10,0.017
2014,01,14,10,0.017
2014,01,14,10,0.017
2014,01,14,10,0.017
2014,01,15,21,0.025
2014,01,15,21,0.025
2014,01,15,21,0.025
2014,01,15,21,0.025
2014,01,16,0,0.025
2014,01,16,0,0.025
2014,01,16,0,0.025
2014,01,16,0,0.025
2014,01,17,11,0.03
2014,01,17,11,0.03
2014,01,17,11,0.03
2014,01,17,11,0.03
2014,01,18,8,0.029
2014,01,18,8,0.029
2014,01,18,8,0.029
2014,01,18,8,0.029
2014,01,19,10,0.034
2014,01,19,10,0.034
2014,01,19,10,0.034
2014,01,19,10,0.034
2014,01,20,9,0.03
2014,01,20,9,0.03
2014,01,20,9,0.03
2014,01,20,9,0.03
2014,01,21,22,0.026
2014,01,21,22,0.026
2014,01,21,22,0.026
2014,01,21,22,0.026
2014,01,22,9,0.031
2014,01,22,9,0.031
2014,01,22,9,0.031
2014,01,22,9,0.031
2014,01,23,10,0.031
2014,01,23,10,0.031
2014,01,23,10,0.031
2014,01,23,10,0.031
2014,01,24,0,0.027
2014,01,24,0,0.027
2014,01,24,0,0.027
2014,01,24,0,0.027
2014,01,25,9,0.032
2014,01,25,9,0.032
2014,01,25,9,0.032
2014,01,25,9,0.032
2014,01,26,10,0.035
2014,01,26,10,0.035
2014,01,26,10,0.035
2014,01,26,10,0.035
2014,01,27,21,0.037
2014,01,27,21,0.037
2014,01,27,21,0.037
2014,01,27,21,0.037
2014,01,28,0,0.035
2014,01,28,0,0.035
2014,01,28,0,0.035
2014,01,28,0,0.035
2014,01,29,10,0.034
2014,01,29,10,0.034
2014,01,29,10,0.034
2014,01,29,10,0.034
2014,01,30,10,0.036
2014,01,30,10,0.036
2014,01,30,10,0.036
2014,01,30,10,0.036
2014,01,31,10,0.027
2014,01,31,10,0.027
2014,01,31,10,0.027
2014,01,31,10,0.027
2014,02,01,10,0.035
2014,02,01,10,0.035
2014,02,01,10,0.035
2014,02,01,10,0.035
2014,02,02,9,0.033
2014,02,02,9,0.033
2014,02,02,9,0.033
2014,02,02,9,0.033
2014,02,03,21,0.026
2014,02,03,21,0.026
2014,02,03,21,0.026
2014,02,03,21,0.026
2014,02,04,0,0.026
2014,02,04,0,0.026
2014,02,04,0,0.026
2014,02,04,0,0.026
2014,02,05,22,0.025
2014,02,05,22,0.025
2014,02,05,22,0.025
2014,02,05,22,0.025
2014,02,06,9,0.035
2014,02,06,9,0.035
2014,02,06,9,0.035
2014,02,06,9,0.035
2014,02,07,10,0.031
2014,02,07,10,0.031
2014,02,07,10,0.031
2014,02,07,10,0.031
2014,02,08,10,0.033
2014,02,08,10,0.033
2014,02,08,10,0.033
2014,02,08,10,0.033
2014,02,09,10,0.03
2014,02,09,10,0.03
2014,02,09,10,0.03
2014,02,09,10,0.03
2014,02,10,7,0.028
2014,02,10,7,0.028
2014,02,10,7,0.028
2014,02,10,7,0.028
2014,02,11,9,0.032
2014,02,11,9,0.032
2014,02,11,9,0.032
2014,02,11,9,0.032
2014,02,12,8,0.033
2014,02,12,8,0.033
2014,02,12,8,0.033
2014,02,12,8,0.033
2014,02,13,0,0.03
2014,02,13,0,0.03
2014,02,13,0,0.03
2014,02,13,0,0.03
2014,02,14,9,0.04
2014,02,14,9,0.04
2014,02,14,9,0.04
2014,02,14,9,0.04
2014,02,15,11,0.041
2014,02,15,11,0.041
2014,02,15,11,0.041
2014,02,15,11,0.041
2014,02,16,10,0.04
2014,02,16,10,0.04
2014,02,16,10,0.04
2014,02,16,10,0.04
2014,02,17,10,0.039
2014,02,17,10,0.039
2014,02,17,10,0.039
2014,02,17,10,0.039
2014,02,18,10,0.04
2014,02,18,10,0.04
2014,02,18,10,0.04
2014,02,18,10,0.04
2014,02,19,2,0.03
2014,02,19,2,0.03
2014,02,19,2,0.03
2014,02,19,2,0.03
2014,02,20,9,0.041
2014,02,20,9,0.041
2014,02,20,9,0.041
2014,02,20,9,0.041
2014,02,21,0,0.03
2014,02,21,0,0.03
2014,02,21,0,0.03
2014,02,21,0,0.03
2014,02,22,10,0.041
2014,02,22,10,0.041
2014,02,22,10,0.041
2014,02,22,10,0.041
2014,02,23,10,0.044
2014,02,23,10,0.044
2014,02,23,10,0.044
2014,02,23,10,0.044
2014,02,24,10,0.042
2014,02,24,10,0.042
2014,02,24,10,0.042
2014,02,24,10,0.042
2014,02,25,10,0.034
2014,02,25,10,0.034
2014,02,25,10,0.034
2014,02,25,10,0.034
2014,02,26,11,0.033
2014,02,26,11,0.033
2014,02,26,11,0.033
2014,02,26,11,0.033
2014,02,27,11,0.039
2014,02,27,11,0.039
2014,02,27,11,0.039
2014,02,27,11,0.039
2014,02,28,12,0.04
2014,02,28,12,0.04
2014,02,28,12,0.04
2014,02,28,12,0.04
2014,03,01,10,0.041
2014,03,01,10,0.041
2014,03,01,10,0.041
2014,03,01,10,0.041
2014,03,02,10,0.049
2014,03,02,10,0.049
2014,03,03,16,0.042
2014,03,03,16,0.042
2014,03,03,16,0.042
2014,03,03,16,0.042
2014,03,04,10,0.038
2014,03,04,10,0.038
2014,03,04,10,0.038
2014,03,04,10,0.038
2014,03,05,9,0.037
2014,03,05,9,0.037
2014,03,05,9,0.037
2014,03,05,9,0.037
2014,03,06,18,0.038
2014,03,06,18,0.038
2014,03,06,18,0.038
2014,03,06,18,0.038
2014,03,07,0,0.035
2014,03,07,0,0.035
2014,03,07,0,0.035
2014,03,07,0,0.035
2014,03,08,11,0.044
2014,03,08,11,0.044
2014,03,08,11,0.044
2014,03,08,11,0.044
2014,03,09,10,0.052
2014,03,09,10,0.052
2014,03,09,10,0.052
2014,03,09,10,0.052
2014,03,10,10,0.046
2014,03,10,10,0.046
2014,03,10,10,0.046
2014,03,10,10,0.046
2014,03,11,10,0.058
2014,03,11,10,0.058
2014,03,11,10,0.058
2014,03,11,10,0.058
2014,03,12,7,0.037
2014,03,12,7,0.037
2014,03,12,7,0.037
2014,03,12,7,0.037
2014,03,13,9,0.043
2014,03,13,9,0.043
2014,03,13,9,0.043
2014,03,13,9,0.043
2014,03,14,14,0.045
2014,03,14,14,0.045
2014,03,14,14,0.045
2014,03,14,14,0.045
2014,03,15,10,0.056
2014,03,15,10,0.056
2014,03,15,10,0.056
2014,03,15,10,0.056
2014,03,16,19,0.039
2014,03,16,19,0.039
2014,03,16,19,0.039
2014,03,16,19,0.039
2014,03,17,0,0.036
2014,03,17,0,0.036
2014,03,17,0,0.036
2014,03,17,0,0.036
2014,03,18,19,0.032
2014,03,18,19,0.032
2014,03,18,19,0.032
2014,03,18,19,0.032
2014,03,19,0,0.03
2014,03,19,0,0.03
2014,03,19,0,0.03
2014,03,19,0,0.03
2014,03,20,10,0.045
2014,03,20,10,0.045
2014,03,20,10,0.045
2014,03,20,10,0.045
2014,03,21,11,0.049
2014,03,21,11,0.049
2014,03,21,11,0.049
2014,03,21,11,0.049
2014,03,22,10,0.058
2014,03,22,10,0.058
2014,03,22,10,0.058
2014,03,22,10,0.058
2014,03,23,6,0.039
2014,03,23,6,0.039
2014,03,23,6,0.039
2014,03,23,6,0.039
2014,03,24,10,0.038
2014,03,24,10,0.038
2014,03,24,10,0.038
2014,03,24,10,0.038
2014,03,25,9,0.036
2014,03,25,9,0.036
2014,03,25,9,0.036
2014,03,25,9,0.036
2014,03,26,10,0.044
2014,03,26,10,0.044
2014,03,26,10,0.044
2014,03,26,10,0.044
2014,03,27,11,0.048
2014,03,27,11,0.048
2014,03,27,11,0.048
2014,03,27,11,0.048
2014,03,28,9,0.04
2014,03,28,9,0.04
2014,03,28,9,0.04
2014,03,28,9,0.04
2014,03,29,9,0.033
2014,03,29,9,0.033
2014,03,29,9,0.033
2014,03,29,9,0.033
2014,03,30,13,0.043
2014,03,30,13,0.043
2014,03,30,13,0.043
2014,03,30,13,0.043
2014,03,31,10,0.051
2014,03,31,10,0.051
2014,03,31,10,0.051
2014,03,31,10,0.051
2014,04,01,11,0.056
2014,04,01,11,0.056
2014,04,01,11,0.056
2014,04,01,11,0.056
2014,04,02,10,0.061
2014,04,02,10,0.061
2014,04,02,10,0.061
2014,04,02,10,0.061
2014,04,03,10,0.052
2014,04,03,10,0.052
2014,04,03,10,0.052
2014,04,03,10,0.052
2014,04,04,9,0.043
2014,04,04,9,0.043
2014,04,04,9,0.043
2014,04,04,9,0.043
2014,04,05,11,0.053
2014,04,05,11,0.053
2014,04,05,11,0.053
2014,04,05,11,0.053
2014,04,06,10,0.047
2014,04,06,10,0.047
2014,04,06,10,0.047
2014,04,06,10,0.047
2014,04,07,0,0.037
2014,04,07,0,0.037
2014,04,07,0,0.037
2014,04,07,0,0.037
2014,04,08,11,0.042
2014,04,08,11,0.042
2014,04,08,11,0.042
2014,04,08,11,0.042
2014,04,09,10,0.058
2014,04,09,10,0.058
2014,04,09,10,0.058
2014,04,09,10,0.058
2014,04,10,11,0.058
2014,04,10,11,0.058
2014,04,10,11,0.058
2014,04,10,11,0.058
2014,04,11,10,0.059
2014,04,11,10,0.059
2014,04,11,10,0.059
2014,04,11,10,0.059
2014,04,12,10,0.064
2014,04,12,10,0.064
2014,04,12,10,0.064
2014,04,12,10,0.064
2014,04,13,10,0.051
2014,04,13,10,0.051
2014,04,13,10,0.051
2014,04,13,10,0.051
2014,04,14,9,0.04
2014,04,14,9,0.04
2014,04,14,9,0.04
2014,04,14,9,0.04
2014,04,15,21,0.034
2014,04,15,21,0.034
2014,04,15,21,0.034
2014,04,15,21,0.034
2014,04,16,11,0.046
2014,04,16,11,0.046
2014,04,16,11,0.046
2014,04,16,11,0.046
2014,04,17,11,0.051
2014,04,17,11,0.051
2014,04,17,11,0.051
2014,04,17,11,0.051
2014,04,18,9,0.044
2014,04,18,9,0.044
2014,04,18,9,0.044
2014,04,18,9,0.044
2014,04,19,22,0.047
2014,04,19,22,0.047
2014,04,19,22,0.047
2014,04,19,22,0.047
2014,04,20,8,0.051
2014,04,20,8,0.051
2014,04,20,8,0.051
2014,04,20,8,0.051
2014,04,21,10,0.054
2014,04,21,10,0.054
2014,04,21,10,0.054
2014,04,21,10,0.054
2014,04,22,10,0.062
2014,04,22,10,0.062
2014,04,22,10,0.062
2014,04,22,10,0.062
2014,04,23,10,0.054
2014,04,23,10,0.054
2014,04,23,10,0.054
2014,04,23,10,0.054
2014,04,24,10,0.052
2014,04,24,10,0.052
2014,04,24,10,0.052
2014,04,24,10,0.052
2014,04,25,9,0.048
2014,04,25,9,0.048
2014,04,25,9,0.048
2014,04,25,9,0.048
2014,04,26,10,0.052
2014,04,26,10,0.052
2014,04,26,10,0.052
2014,04,26,10,0.052
2014,04,27,10,0.058
2014,04,27,10,0.058
2014,04,27,10,0.058
2014,04,27,10,0.058
2014,04,28,0,0.042
2014,04,28,0,0.042
2014,04,28,0,0.042
2014,04,28,0,0.042
2014,04,29,0,0.022
2014,04,29,0,0.022
2014,04,29,0,0.022
2014,04,29,0,0.022
2014,04,30,12,0.025
2014,04,30,12,0.025
2014,04,30,12,0.025
2014,04,30,12,0.025
2014,05,01,10,0.042
2014,05,01,10,0.042
2014,05,01,10,0.042
2014,05,01,10,0.042
2014,05,02,9,0.047
2014,05,02,9,0.047
2014,05,02,9,0.047
2014,05,02,9,0.047
2014,05,03,11,0.055
2014,05,03,11,0.055
2014,05,03,11,0.055
2014,05,03,11,0.055
2014,05,04,10,0.059
2014,05,04,10,0.059
2014,05,04,10,0.059
2014,05,04,10,0.059
2014,05,05,10,0.047
2014,05,05,10,0.047
2014,05,05,10,0.047
2014,05,05,10,0.047
2014,05,06,12,0.053
2014,05,06,12,0.053
2014,05,06,12,0.053
2014,05,06,12,0.053
2014,05,07,11,0.048
2014,05,07,11,0.048
2014,05,07,11,0.048
2014,05,07,11,0.048
2014,05,08,10,0.061
2014,05,08,10,0.061
2014,05,08,10,0.061
2014,05,08,10,0.061
2014,05,09,9,0.053
2014,05,09,9,0.053
2014,05,09,9,0.053
2014,05,09,9,0.053
2014,05,10,11,0.053
2014,05,10,11,0.053
2014,05,10,11,0.053
2014,05,10,11,0.053
2014,05,11,11,0.051
2014,05,11,11,0.051
2014,05,11,11,0.051
2014,05,11,11,0.051
2014,05,12,10,0.056
2014,05,12,10,0.056
2014,05,12,10,0.056
2014,05,12,10,0.056
2014,05,13,10,0.053
2014,05,13,10,0.053
2014,05,13,10,0.053
2014,05,13,10,0.053
2014,05,14,9,0.042
2014,05,14,9,0.042
2014,05,14,9,0.042
2014,05,14,9,0.042
2014,05,15,0,0.025
2014,05,15,0,0.025
2014,05,15,0,0.025
2014,05,15,0,0.025
2014,05,16,11,0.049
2014,05,16,11,0.049
2014,05,16,11,0.049
2014,05,16,11,0.049
2014,05,17,11,0.053
2014,05,17,11,0.053
2014,05,17,11,0.053
2014,05,17,11,0.053
2014,05,18,10,0.044
2014,05,18,10,0.044
2014,05,18,10,0.044
2014,05,18,10,0.044
2014,05,19,10,0.054
2014,05,19,10,0.054
2014,05,19,10,0.054
2014,05,19,10,0.054
2014,05,20,9,0.053
2014,05,20,9,0.053
2014,05,20,9,0.053
2014,05,20,9,0.053
2014,05,21,11,0.059
2014,05,21,11,0.059
2014,05,21,11,0.059
2014,05,21,11,0.059
2014,05,22,11,0.063
2014,05,22,11,0.063
2014,05,22,11,0.063
2014,05,22,11,0.063
2014,05,23,10,0.06
2014,05,23,10,0.06
2014,05,23,10,0.06
2014,05,23,10,0.06
2014,05,24,11,0.05
2014,05,24,11,0.05
2014,05,24,11,0.05
2014,05,24,11,0.05
2014,05,25,9,0.051
2014,05,25,9,0.051
2014,05,25,9,0.051
2014,05,25,9,0.051
2014,05,26,9,0.054
2014,05,26,9,0.054
2014,05,26,9,0.054
2014,05,26,9,0.054
2014,05,27,9,0.047
2014,05,27,9,0.047
2014,05,27,9,0.047
2014,05,27,9,0.047
2014,05,28,10,0.055
2014,05,28,10,0.055
2014,05,28,10,0.055
2014,05,28,10,0.055
2014,05,29,0,0.037
2014,05,29,0,0.037
2014,05,29,0,0.037
2014,05,29,0,0.037
2014,05,30,10,0.025
2014,05,30,10,0.025
2014,05,30,10,0.025
2014,05,30,10,0.025
2014,05,31,10,0.043
2014,05,31,10,0.043
2014,05,31,10,0.043
2014,05,31,10,0.043
2014,06,01,10,0.045
2014,06,01,10,0.045
2014,06,01,10,0.045
2014,06,01,10,0.045
2014,06,02,11,0.062
2014,06,02,11,0.062
2014,06,02,11,0.062
2014,06,02,11,0.062
2014,06,03,9,0.058
2014,06,03,9,0.058
2014,06,03,9,0.058
2014,06,03,9,0.058
2014,06,04,10,0.055
2014,06,04,10,0.055
2014,06,04,10,0.055
2014,06,04,10,0.055
2014,06,05,10,0.05
2014,06,05,10,0.05
2014,06,05,10,0.05
2014,06,05,10,0.05
2014,06,06,10,0.053
2014,06,06,10,0.053
2014,06,06,10,0.053
2014,06,06,10,0.053
2014,06,07,10,0.053
2014,06,07,10,0.053
2014,06,07,10,0.053
2014,06,07,10,0.053
2014,06,08,8,0.054
2014,06,08,8,0.054
2014,06,08,8,0.054
2014,06,08,8,0.054
2014,06,09,11,0.048
2014,06,09,11,0.048
2014,06,09,11,0.048
2014,06,09,11,0.048
2014,06,10,10,0.053
2014,06,10,10,0.053
2014,06,10,10,0.053
2014,06,10,10,0.053
2014,06,11,8,0.045
2014,06,11,8,0.045
2014,06,11,8,0.045
2014,06,11,8,0.045
2014,06,12,8,0.036
2014,06,12,8,0.036
2014,06,12,8,0.036
2014,06,12,8,0.036
2014,06,13,10,0.047
2014,06,13,10,0.047
2014,06,13,10,0.047
2014,06,13,10,0.047
2014,06,14,10,0.05
2014,06,14,10,0.05
2014,06,14,10,0.05
2014,06,14,10,0.05
2014,06,15,11,0.052
2014,06,15,11,0.052
2014,06,15,11,0.052
2014,06,15,11,0.052
2014,06,16,10,0.06
2014,06,16,10,0.06
2014,06,16,10,0.06
2014,06,16,10,0.06
2014,06,17,10,0.053
2014,06,17,10,0.053
2014,06,17,10,0.053
2014,06,17,10,0.053
2014,06,18,10,0.059
2014,06,18,10,0.059
2014,06,18,10,0.059
2014,06,18,10,0.059
2014,06,19,10,0.053
2014,06,19,10,0.053
2014,06,19,10,0.053
2014,06,19,10,0.053
2014,06,20,9,0.047
2014,06,20,9,0.047
2014,06,20,9,0.047
2014,06,20,9,0.047
2014,06,21,10,0.045
2014,06,21,10,0.045
2014,06,21,10,0.045
2014,06,21,10,0.045
2014,06,22,12,0.035
2014,06,22,12,0.035
2014,06,22,12,0.035
2014,06,22,12,0.035
2014,06,23,11,0.046
2014,06,23,11,0.046
2014,06,23,11,0.046
2014,06,23,11,0.046
2014,06,24,10,0.042
2014,06,24,10,0.042
2014,06,24,10,0.042
2014,06,24,10,0.042
2014,06,25,9,0.039
2014,06,25,9,0.039
2014,06,25,9,0.039
2014,06,25,9,0.039
2014,06,26,10,0.057
2014,06,26,10,0.057
2014,06,26,10,0.057
2014,06,26,10,0.057
2014,06,27,10,0.039
2014,06,27,10,0.039
2014,06,27,10,0.039
2014,06,27,10,0.039
2014,06,28,8,0.042
2014,06,28,8,0.042
2014,06,28,8,0.042
2014,06,28,8,0.042
2014,06,29,11,0.045
2014,06,29,11,0.045
2014,06,29,11,0.045
2014,06,29,11,0.045
2014,06,30,10,0.05
2014,06,30,10,0.05
2014,06,30,10,0.05
2014,06,30,10,0.05
2014,07,01,11,0.05
2014,07,01,11,0.05
2014,07,01,11,0.05
2014,07,01,11,0.05
2014,07,02,9,0.043
2014,07,02,9,0.043
2014,07,02,9,0.043
2014,07,02,9,0.043
2014,07,03,10,0.029
2014,07,03,10,0.029
2014,07,03,10,0.029
2014,07,03,10,0.029
2014,07,04,11,0.048
2014,07,04,11,0.048
2014,07,04,11,0.048
2014,07,04,11,0.048
2014,07,05,10,0.042
2014,07,05,10,0.042
2014,07,05,10,0.042
2014,07,05,10,0.042
2014,07,06,10,0.047
2014,07,06,10,0.047
2014,07,06,10,0.047
2014,07,06,10,0.047
2014,07,07,10,0.049
2014,07,07,10,0.049
2014,07,07,10,0.049
2014,07,07,10,0.049
2014,07,08,10,0.056
2014,07,08,10,0.056
2014,07,08,10,0.056
2014,07,08,10,0.056
2014,07,09,8,0.05
2014,07,09,8,0.05
2014,07,09,8,0.05
2014,07,09,8,0.05
2014,07,10,10,0.044
2014,07,10,10,0.044
2014,07,10,10,0.044
2014,07,10,10,0.044
2014,07,11,10,0.043
2014,07,11,10,0.043
2014,07,11,10,0.043
2014,07,11,10,0.043
2014,07,12,10,0.046
2014,07,12,10,0.046
2014,07,12,10,0.046
2014,07,12,10,0.046
2014,07,13,10,0.046
2014,07,13,10,0.046
2014,07,13,10,0.046
2014,07,13,10,0.046
2014,07,14,10,0.048
2014,07,14,10,0.048
2014,07,14,10,0.048
2014,07,14,10,0.048
2014,07,15,9,0.043
2014,07,15,9,0.043
2014,07,15,9,0.043
2014,07,15,9,0.043
2014,07,16,11,0.04
2014,07,16,11,0.04
2014,07,16,11,0.04
2014,07,16,11,0.04
2014,07,17,10,0.054
