D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
,17,16,1,35.7,33,23,0.037,34,17,0.6,0,24,0.8,9,18,2016,01,01,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
,17,16,1,35.7,33,23,0.037,34,17,0.6,0,24,0.8,9,19,2016,01,01,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
,7,6,1,35.9,33,18,0.03,28,13,0,0,24,0.3,3,24,2016,01,07,Los Angeles-North Main Street,34.06659,-118.22688,1/7/2016
,22,20,1,47.6,44,22,0.017,16,17,0.9,0,24,1,11,24,2016,01,13,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
,22,20,1,47.6,44,22,0.017,16,17,0.9,0,24,1,11,24,2016,01,13,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
,18,17,1,27.9,25,22,0.017,16,17,0.3,0,24,0.7,8,24,2016,01,19,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
,18,17,1,27.9,25,22,0.017,16,17,0.3,0,24,0.7,8,24,2016,01,19,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
,26,24,1,46.3,43,23,0.027,25,17,0.5,0,24,0.9,10,24,2016,01,25,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
,26,24,1,46.3,43,23,0.027,25,17,0.5,0,24,0.8,9,24,2016,01,25,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
,10,9,1,19.8,18,23,0.036,33,17,0.2,0,24,0.3,3,24,2016,01,31,Los Angeles-North Main Street,34.06659,-118.22688,1/31/2016
,17,16,1,49.6,46,23,0.037,34,17,0.5,0,24,1,11,24,2016,02,06,Los Angeles-North Main Street,34.06659,-118.22688,2/6/2016
,38,35,1,61.7,58,22,0.044,41,17,0.7,0,24,1.3,15,24,2016,02,12,Los Angeles-North Main Street,34.06659,-118.22688,2/12/2016
,13,12,1,39.7,37,23,0.033,31,17,0.1,0,24,0.5,6,24,2016,02,18,Los Angeles-North Main Street,34.06659,-118.22688,2/18/2016
,22,20,1,54.5,51,23,0.044,41,17,0.4,0,24,0.7,8,24,2016,02,24,Los Angeles-North Main Street,34.06659,-118.22688,2/24/2016
,12,11,1,27.3,25,23,0.041,38,17,0,0,24,0.4,5,24,2016,03,07,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
,12,11,1,27.3,25,23,0.041,38,17,0,0,24,0.4,5,24,2016,03,07,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
,19,18,1,22.7,21,23,0.042,39,17,0.4,0,24,0.5,6,24,2016,03,13,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
,19,18,1,22.7,21,23,0.042,39,17,0.4,0,24,0.4,5,24,2016,03,13,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
,41,38,1,28,26,23,0.055,51,17,0.3,0,24,0.5,6,24,2016,03,19,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
,41,38,1,28,26,23,0.055,51,17,0.3,0,24,0.5,6,24,2016,03,19,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
,28,26,1,41.9,39,23,0.045,42,17,1,1,24,0.9,10,24,2016,03,25,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
,28,26,1,41.9,39,23,0.045,42,17,1,1,24,0.8,9,24,2016,03,25,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
,25,23,1,31.8,29,23,0.041,38,17,0.6,0,24,0.7,8,24,2016,03,31,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
,25,23,1,31.8,29,23,0.041,38,17,0.6,0,24,0.7,8,24,2016,03,31,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
,26,24,1,41.9,39,22,0.046,43,17,0.4,0,24,0.7,8,24,2016,04,06,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
,26,24,1,41.9,39,22,0.046,43,17,0.4,0,24,0.7,8,24,2016,04,06,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
,18,17,1,29.5,27,21,0.037,34,14,0.5,0,24,0.6,7,21,2016,04,12,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
,18,17,1,29.5,27,21,0.037,34,14,0.5,0,24,0.5,6,24,2016,04,12,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
,26,24,1,53.6,50,23,0.062,74,17,1.1,1,24,0.7,8,24,2016,04,18,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
,26,24,1,53.6,50,23,0.062,74,17,1.1,1,24,0.7,8,24,2016,04,18,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
,28,26,1,26.9,25,22,0.056,54,17,0.4,0,24,0.5,6,24,2016,04,24,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
,28,26,1,26.9,25,22,0.056,54,17,0.4,0,24,0.4,5,24,2016,04,24,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
,24,22,1,18.8,17,23,0.049,45,17,0.2,0,24,0.3,3,24,2016,04,30,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
,24,22,1,18.8,17,23,0.049,45,17,0.2,0,24,0.3,3,24,2016,04,30,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
,10,9,1,26.6,25,23,0.04,37,17,0.1,0,24,0.3,3,24,2016,05,07,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
,10,9,1,26.6,25,23,0.04,37,17,0.1,0,24,0.4,5,24,2016,05,07,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
,18,17,1,21.2,20,21,0.043,40,14,0.3,0,24,0.3,3,21,2016,05,18,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
,18,17,1,21.2,20,21,0.043,40,14,0.3,0,24,0.3,3,19,2016,05,18,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
,13,12,1,20.9,19,21,0.033,31,14,0.7,0,24,0.3,3,21,2016,05,24,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
,13,12,1,20.9,19,21,0.033,31,14,0.7,0,24,0.2,2,24,2016,05,24,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
,16,15,1,10.7,9,23,0.05,46,17,0.3,0,24,0.3,3,24,2016,05,30,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
,16,15,1,10.7,9,23,0.05,46,17,0.3,0,24,0.2,2,24,2016,05,30,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
,12,11,1,18.5,17,22,0.046,43,17,0.3,0,24,0.3,3,24,2016,06,05,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
,12,11,1,18.5,17,22,0.046,43,17,0.3,0,24,0.3,3,24,2016,06,05,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
,7,6,1,12.3,11,21,0.029,27,14,0.3,0,24,0.2,2,21,2016,06,11,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
,7,6,1,12.3,11,21,0.029,27,14,0.3,0,24,0.2,2,24,2016,06,11,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
,45,42,1,40.1,38,22,0.074,112,17,1.9,1,24,0.7,8,21,2016,06,17,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
,45,42,1,40.1,38,22,0.074,112,17,1.9,1,24,0.7,8,24,2016,06,17,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
,29,27,1,18.4,17,22,0.045,42,17,0.9,0,24,0.3,3,24,2016,06,23,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
,29,27,1,18.4,17,22,0.045,42,17,0.9,0,24,0.3,3,24,2016,06,23,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
,30,28,1,36.2,34,21,0.056,54,14,0.9,0,24,0.5,6,24,2016,06,29,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
,30,28,1,36.2,34,21,0.056,54,14,0.9,0,24,0.5,6,24,2016,06,29,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
,19,18,1,20.9,19,19,0.047,44,14,0.6,0,24,0.3,3,21,2016,07,05,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
,19,18,1,20.9,19,19,0.047,44,14,0.6,0,24,0.3,3,24,2016,07,05,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
,29,27,1,19.4,18,21,0.05,46,14,0.7,0,23,0.3,3,21,2016,07,11,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
,29,27,1,19.4,18,21,0.05,46,14,0.7,0,23,0.3,3,24,2016,07,11,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
,19,18,1,10.8,9,23,0.052,48,17,0.8,0,23,0.3,3,24,2016,07,17,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
,19,18,1,10.8,9,23,0.052,48,17,0.8,0,23,0.2,2,24,2016,07,17,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
,48,44,1,44.4,42,22,0.061,71,17,2.3,3,24,0.6,7,24,2016,07,23,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
,48,44,1,44.4,42,22,0.061,71,17,2.3,3,24,0.6,7,24,2016,07,23,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
,23,21,1,22.4,21,24,0.048,44,17,0.6,0,24,0.3,3,24,2016,08,04,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
,23,21,1,22.4,21,24,0.048,44,17,0.6,0,24,0.3,3,24,2016,08,04,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
,24,22,1,25,24,24,0.054,50,17,1.1,1,24,0.4,5,24,2016,08,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
,24,22,1,25,24,24,0.054,50,17,1.1,1,24,0.4,5,24,2016,08,10,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
,29,27,1,33.5,31,24,0.046,43,17,1.5,1,24,0.6,7,24,2016,08,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
,29,27,1,33.5,31,24,0.046,43,17,1.5,1,24,0.6,7,24,2016,08,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
,24,22,1,22.4,21,24,0.051,47,17,0.6,0,24,0.4,5,24,2016,08,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
,24,22,1,22.4,21,24,0.051,47,17,0.6,0,24,0.4,5,24,2016,08,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
,24,22,1,12.2,11,24,0.044,41,17,0.4,0,24,0.2,2,24,2016,09,03,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
,24,22,1,12.2,11,24,0.044,41,17,0.4,0,24,0.2,2,24,2016,09,03,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
,28,26,1,18.3,17,24,0.048,44,17,0.4,0,24,0.3,3,24,2016,09,09,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
,28,26,1,18.3,17,24,0.048,44,17,0.4,0,24,0.3,3,24,2016,09,09,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
,28,26,1,28.3,26,24,0.043,40,17,1.2,1,24,0.6,7,24,2016,09,15,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
,28,26,1,28.3,26,24,0.043,40,17,1.2,1,24,0.6,7,24,2016,09,15,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
,41,38,1,45.8,42,24,0.055,51,17,1.1,1,24,0.6,7,24,2016,09,27,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
,41,38,1,45.8,42,24,0.055,51,17,1.1,1,24,0.5,6,24,2016,09,27,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
,32,30,1,35.5,33,24,0.042,39,17,0.6,0,24,0.5,6,24,2016,10,03,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
,32,30,1,35.5,33,24,0.042,39,17,0.6,0,24,0.5,6,24,2016,10,03,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
,26,24,1,39.6,37,24,0.069,97,17,0.7,0,24,0.9,10,24,2016,10,09,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
,26,24,1,39.6,37,24,0.069,97,17,0.7,0,24,0.9,10,24,2016,10,09,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
,17,16,1,15.8,14,24,0.03,28,17,0.8,0,24,0.3,3,24,2016,10,15,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
,17,16,1,15.8,14,24,0.03,28,17,0.8,0,24,0.3,3,24,2016,10,15,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
,35,32,1,48.8,45,24,0.042,39,17,1.2,1,24,0.9,10,24,2016,10,21,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
,35,32,1,48.8,45,24,0.042,39,17,1.2,1,24,0.8,9,24,2016,10,21,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
,32,30,1,54.9,51,24,0.025,23,17,0.9,0,24,0.9,10,24,2016,10,27,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
,32,30,1,54.9,51,24,0.025,23,17,0.9,0,24,0.9,10,24,2016,10,27,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
,27,25,1,52.2,49,24,0.028,26,17,1.2,1,24,1,11,24,2016,11,02,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
,27,25,1,52.2,49,24,0.028,26,17,1.2,1,24,1,11,24,2016,11,02,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
,32,30,1,59.5,56,24,0.041,38,17,0.9,0,24,1.1,13,24,2016,11,08,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
,32,30,1,59.5,56,24,0.041,38,17,0.9,0,24,1.1,13,24,2016,11,08,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
,29,27,1,48.4,45,24,0.044,41,17,0.9,0,24,0.9,10,24,2016,11,14,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
,29,27,1,48.4,45,24,0.044,41,17,0.9,0,24,0.9,10,24,2016,11,14,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
,24,22,1,34.9,32,24,0.028,26,17,1.1,1,24,1.2,14,24,2016,11,20,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
,24,22,1,34.9,32,24,0.028,26,17,1.1,1,24,1.2,14,24,2016,11,20,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
,23,21,1,36.8,34,24,0.036,33,17,0.9,0,24,1.3,15,24,2016,11,26,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
,23,21,1,36.8,34,24,0.036,33,17,0.9,0,24,1.3,15,24,2016,11,26,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
,36,33,1,37.7,35,24,0.031,29,17,0.7,0,24,1.1,13,24,2016,12,08,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
,36,33,1,37.7,35,24,0.031,29,17,0.7,0,24,0.8,9,24,2016,12,08,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
,64,55,1,45.2,42,24,0.015,14,17,0.9,0,18,1.2,14,24,2016,12,14,Los Angeles-North Main Street,34.06659,-118.22688,12/14/2016
,28,26,1,50.1,47,22,0.021,19,17,0.6,0,24,0.8,9,24,2016,12,20,Los Angeles-North Main Street,34.06659,-118.22688,12/20/2016
,19,18,1,33.2,31,24,0.031,29,17,0.6,0,24,0.9,10,24,2016,12,26,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
,19,18,1,33.2,31,24,0.031,29,17,0.6,0,24,0.8,9,24,2016,12,26,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
,15,14,1,39.2,37,22,0.031,29,17,2.5,3,21,0.6,7,24,2016,01,07,Long Beach (Hudson),33.8025,-118.22,1/7/2016
,44,41,1,51.3,48,23,0.017,16,17,3.3,4,22,1.8,20,24,2016,01,13,Long Beach (Hudson),33.8025,-118.22,1/13/2016
,26,24,1,28.9,26,22,0.019,18,17,0.9,0,22,0.6,7,24,2016,01,19,Long Beach (Hudson),33.8025,-118.22,1/19/2016
,43,40,1,42,40,23,0.022,20,17,1.6,1,22,1.2,14,24,2016,01,25,Long Beach (Hudson),33.8025,-118.22,1/25/2016
,24,22,1,13.9,12,23,0.034,31,17,1.1,1,22,0.2,2,24,2016,01,31,Long Beach (Hudson),33.8025,-118.22,1/31/2016
,54,50,1,75.6,73,23,0.029,27,17,10.2,14,22,2.2,25,24,2016,02,12,Long Beach (Hudson),33.8025,-118.22,2/12/2016
,26,24,1,36.1,34,23,0.033,31,17,1.5,1,22,0.3,3,24,2016,02,18,Long Beach (Hudson),33.8025,-118.22,2/18/2016
,44,41,1,51.8,48,21,0.036,33,17,3.5,4,22,0.7,8,24,2016,02,24,Long Beach (Hudson),33.8025,-118.22,2/24/2016
,40,37,1,46.1,43,21,0.039,36,17,2.8,3,21,0.5,6,23,2016,03,01,Long Beach (Hudson),33.8025,-118.22,3/1/2016
,27,25,1,31.8,29,23,0.036,33,17,1,1,22,0.2,2,24,2016,03,07,Long Beach (Hudson),33.8025,-118.22,3/7/2016
,17,16,1,24.2,23,23,0.037,34,17,1.3,1,22,0.5,6,24,2016,03,13,Long Beach (Hudson),33.8025,-118.22,3/13/2016
,24,22,1,19,18,23,0.05,46,17,1.5,1,22,0.3,3,24,2016,03,19,Long Beach (Hudson),33.8025,-118.22,3/19/2016
,27,25,1,34.3,32,23,0.042,39,17,1.6,1,22,0.8,9,24,2016,03,25,Long Beach (Hudson),33.8025,-118.22,3/25/2016
,38,35,1,35.1,33,23,0.037,34,17,4.4,6,21,0.6,7,24,2016,03,31,Long Beach (Hudson),33.8025,-118.22,3/31/2016
,32,30,1,38.1,36,22,0.03,28,17,5.2,7,22,0.6,7,24,2016,04,06,Long Beach (Hudson),33.8025,-118.22,4/6/2016
,25,23,1,26.6,25,22,0.029,27,17,3.3,4,22,0.5,6,24,2016,04,12,Long Beach (Hudson),33.8025,-118.22,4/12/2016
,31,29,1,50,47,23,0.049,45,17,2.9,3,23,0.9,10,24,2016,04,18,Long Beach (Hudson),33.8025,-118.22,4/18/2016
,29,27,1,16.7,15,23,0.046,43,17,1.2,1,23,0.4,5,24,2016,04,24,Long Beach (Hudson),33.8025,-118.22,4/24/2016
,23,21,1,11.9,10,23,0.045,42,17,1.5,1,23,0.2,2,24,2016,04,30,Long Beach (Hudson),33.8025,-118.22,4/30/2016
,12,11,1,23.8,22,23,0.035,32,17,0.8,0,22,0.3,3,24,2016,05,06,Long Beach (Hudson),33.8025,-118.22,5/6/2016
,22,20,1,24.1,23,23,0.039,36,17,3.4,4,22,0.3,3,24,2016,05,12,Long Beach (Hudson),33.8025,-118.22,5/12/2016
,25,23,1,21.2,20,23,0.037,34,17,1.5,1,22,0.3,3,24,2016,05,18,Long Beach (Hudson),33.8025,-118.22,5/18/2016
,19,18,1,18.1,17,22,0.028,26,17,2,3,22,0.2,2,24,2016,05,24,Long Beach (Hudson),33.8025,-118.22,5/24/2016
,16,15,1,10.4,9,23,0.043,40,17,1.5,1,22,0.2,2,24,2016,05,30,Long Beach (Hudson),33.8025,-118.22,5/30/2016
,11,10,1,11.3,10,22,0.034,31,17,2,3,22,0.1,1,24,2016,06,05,Long Beach (Hudson),33.8025,-118.22,6/5/2016
,8,7,1,7.6,7,22,0.03,28,17,0.2,0,22,0.1,1,24,2016,06,11,Long Beach (Hudson),33.8025,-118.22,6/11/2016
,49,45,1,40.2,38,22,0.055,51,17,7.1,10,22,0.6,7,24,2016,06,17,Long Beach (Hudson),33.8025,-118.22,6/17/2016
