Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
28,0.03,17,2018,10,17,Newark Firehouse,40.720989,-74.192892,10/17/2018
25,0.027,17,2018,10,20,Newark Firehouse,40.720989,-74.192892,10/20/2018
30,0.032,17,2018,10,23,Newark Firehouse,40.720989,-74.192892,10/23/2018
23,0.025,17,2018,10,26,Newark Firehouse,40.720989,-74.192892,10/26/2018
19,0.021,17,2018,10,29,Newark Firehouse,40.720989,-74.192892,10/29/2018
28,0.03,17,2018,11,1,Newark Firehouse,40.720989,-74.192892,11/1/2018
23,0.025,17,2018,11,4,Newark Firehouse,40.720989,-74.192892,11/4/2018
23,0.025,17,2018,11,7,Newark Firehouse,40.720989,-74.192892,11/7/2018
28,0.03,17,2018,11,10,Newark Firehouse,40.720989,-74.192892,11/10/2018
23,0.025,17,2018,11,13,Newark Firehouse,40.720989,-74.192892,11/13/2018
26,0.028,17,2018,11,16,Newark Firehouse,40.720989,-74.192892,11/16/2018
12,0.013,17,2018,11,19,Newark Firehouse,40.720989,-74.192892,11/19/2018
31,0.033,17,2018,11,22,Newark Firehouse,40.720989,-74.192892,11/22/2018
29,0.031,17,2018,11,25,Newark Firehouse,40.720989,-74.192892,11/25/2018
20,0.022,17,2018,11,28,Newark Firehouse,40.720989,-74.192892,11/28/2018
10,0.011,17,2018,12,1,Newark Firehouse,40.720989,-74.192892,12/1/2018
28,0.03,17,2018,12,4,Newark Firehouse,40.720989,-74.192892,12/4/2018
26,0.028,17,2018,12,7,Newark Firehouse,40.720989,-74.192892,12/7/2018
23,0.025,17,2018,12,10,Newark Firehouse,40.720989,-74.192892,12/10/2018
20,0.022,17,2018,12,16,Newark Firehouse,40.720989,-74.192892,12/16/2018
16,0.017,17,2018,12,19,Newark Firehouse,40.720989,-74.192892,12/19/2018
23,0.025,17,2018,12,22,Newark Firehouse,40.720989,-74.192892,12/22/2018
23,0.025,17,2018,12,25,Newark Firehouse,40.720989,-74.192892,12/25/2018
12,0.013,17,2018,12,28,Newark Firehouse,40.720989,-74.192892,12/28/2018
19,0.021,17,2018,1,2,QUEENS COLLEGE 2,40.73614,-73.82153,1/2/2018
16,0.017,17,2018,1,8,QUEENS COLLEGE 2,40.73614,-73.82153,1/8/2018
29,0.031,17,2018,1,14,QUEENS COLLEGE 2,40.73614,-73.82153,1/14/2018
30,0.032,17,2018,1,20,QUEENS COLLEGE 2,40.73614,-73.82153,1/20/2018
18,0.019,17,2018,1,26,QUEENS COLLEGE 2,40.73614,-73.82153,1/26/2018
12,0.013,17,2018,2,1,QUEENS COLLEGE 2,40.73614,-73.82153,2/1/2018
27,0.029,17,2018,2,7,QUEENS COLLEGE 2,40.73614,-73.82153,2/7/2018
31,0.034,17,2018,2,13,QUEENS COLLEGE 2,40.73614,-73.82153,2/13/2018
26,0.028,17,2018,2,25,QUEENS COLLEGE 2,40.73614,-73.82153,2/25/2018
34,0.037,17,2018,3,3,QUEENS COLLEGE 2,40.73614,-73.82153,3/3/2018
29,0.031,17,2018,3,9,QUEENS COLLEGE 2,40.73614,-73.82153,3/9/2018
38,0.041,17,2018,3,15,QUEENS COLLEGE 2,40.73614,-73.82153,3/15/2018
34,0.037,17,2018,3,21,QUEENS COLLEGE 2,40.73614,-73.82153,3/21/2018
38,0.041,17,2018,4,2,QUEENS COLLEGE 2,40.73614,-73.82153,4/2/2018
39,0.042,17,2018,4,8,QUEENS COLLEGE 2,40.73614,-73.82153,4/8/2018
49,0.053,17,2018,4,14,QUEENS COLLEGE 2,40.73614,-73.82153,4/14/2018
37,0.04,17,2018,4,20,QUEENS COLLEGE 2,40.73614,-73.82153,4/20/2018
47,0.051,17,2018,4,26,QUEENS COLLEGE 2,40.73614,-73.82153,4/26/2018
101,0.071,8,2018,5,2,QUEENS COLLEGE 2,40.73614,-73.82153,5/2/2018
49,0.053,17,2018,5,8,QUEENS COLLEGE 2,40.73614,-73.82153,5/8/2018
32,0.035,17,2018,5,14,QUEENS COLLEGE 2,40.73614,-73.82153,5/14/2018
35,0.038,17,2018,5,20,QUEENS COLLEGE 2,40.73614,-73.82153,5/20/2018
90,0.067,17,2018,5,26,QUEENS COLLEGE 2,40.73614,-73.82153,5/26/2018
50,0.054,17,2018,6,2,QUEENS COLLEGE 2,40.73614,-73.82153,6/2/2018
27,0.029,17,2018,6,7,QUEENS COLLEGE 2,40.73614,-73.82153,6/7/2018
33,0.036,17,2018,6,13,QUEENS COLLEGE 2,40.73614,-73.82153,6/13/2018
35,0.038,17,2018,6,25,QUEENS COLLEGE 2,40.73614,-73.82153,6/25/2018
133,0.08,17,2018,7,1,QUEENS COLLEGE 2,40.73614,-73.82153,7/1/2018
36,0.039,17,2018,7,7,QUEENS COLLEGE 2,40.73614,-73.82153,7/7/2018
44,0.047,17,2018,7,13,QUEENS COLLEGE 2,40.73614,-73.82153,7/13/2018
49,0.053,17,2018,7,19,QUEENS COLLEGE 2,40.73614,-73.82153,7/19/2018
23,0.025,17,2018,7,25,QUEENS COLLEGE 2,40.73614,-73.82153,7/25/2018
101,0.071,17,2018,8,6,QUEENS COLLEGE 2,40.73614,-73.82153,8/6/2018
44,0.048,17,2018,8,12,QUEENS COLLEGE 2,40.73614,-73.82153,8/12/2018
44,0.047,17,2018,8,18,QUEENS COLLEGE 2,40.73614,-73.82153,8/18/2018
47,0.051,17,2018,9,5,QUEENS COLLEGE 2,40.73614,-73.82153,9/5/2018
9,0.01,17,2018,9,11,QUEENS COLLEGE 2,40.73614,-73.82153,9/11/2018
25,0.027,17,2018,9,17,QUEENS COLLEGE 2,40.73614,-73.82153,9/17/2018
21,0.023,17,2018,9,23,QUEENS COLLEGE 2,40.73614,-73.82153,9/23/2018
34,0.037,17,2018,9,29,QUEENS COLLEGE 2,40.73614,-73.82153,9/29/2018
26,0.028,17,2018,10,5,QUEENS COLLEGE 2,40.73614,-73.82153,10/5/2018
17,0.018,17,2018,10,11,QUEENS COLLEGE 2,40.73614,-73.82153,10/11/2018
26,0.028,17,2018,10,17,QUEENS COLLEGE 2,40.73614,-73.82153,10/17/2018
27,0.029,17,2018,10,23,QUEENS COLLEGE 2,40.73614,-73.82153,10/23/2018
21,0.023,17,2018,10,29,QUEENS COLLEGE 2,40.73614,-73.82153,10/29/2018
27,0.029,17,2018,11,10,QUEENS COLLEGE 2,40.73614,-73.82153,11/10/2018
29,0.031,17,2018,11,22,QUEENS COLLEGE 2,40.73614,-73.82153,11/22/2018
24,0.026,17,2018,12,4,QUEENS COLLEGE 2,40.73614,-73.82153,12/4/2018
25,0.027,17,2018,12,10,QUEENS COLLEGE 2,40.73614,-73.82153,12/10/2018
23,0.025,17,2018,12,16,QUEENS COLLEGE 2,40.73614,-73.82153,12/16/2018
24,0.026,17,2018,12,22,QUEENS COLLEGE 2,40.73614,-73.82153,12/22/2018
24,0.026,17,2018,12,28,QUEENS COLLEGE 2,40.73614,-73.82153,12/28/2018
24,0.026,17,2020,1,1,Newark Firehouse,40.720989,-74.192892,1/1/2020
25,0.027,17,2020,1,4,Newark Firehouse,40.720989,-74.192892,1/4/2020
10,0.011,17,2020,1,7,Newark Firehouse,40.720989,-74.192892,1/7/2020
17,0.018,17,2020,1,10,Newark Firehouse,40.720989,-74.192892,1/10/2020
2,0.002,17,2020,1,13,Newark Firehouse,40.720989,-74.192892,1/13/2020
29,0.031,17,2020,1,16,Newark Firehouse,40.720989,-74.192892,1/16/2020
31,0.033,17,2020,1,19,Newark Firehouse,40.720989,-74.192892,1/19/2020
21,0.023,17,2020,1,25,Newark Firehouse,40.720989,-74.192892,1/25/2020
32,0.035,17,2020,1,28,Newark Firehouse,40.720989,-74.192892,1/28/2020
15,0.016,17,2020,1,31,Newark Firehouse,40.720989,-74.192892,1/31/2020
25,0.027,17,2020,2,3,Newark Firehouse,40.720989,-74.192892,2/3/2020
6,0.007,17,2020,2,6,Newark Firehouse,40.720989,-74.192892,2/6/2020
22,0.024,17,2020,2,9,Newark Firehouse,40.720989,-74.192892,2/9/2020
30,0.032,17,2020,2,12,Newark Firehouse,40.720989,-74.192892,2/12/2020
23,0.025,17,2020,2,15,Newark Firehouse,40.720989,-74.192892,2/15/2020
34,0.037,17,2020,2,21,Newark Firehouse,40.720989,-74.192892,2/21/2020
22,0.024,17,2020,2,24,Newark Firehouse,40.720989,-74.192892,2/24/2020
35,0.038,17,2020,2,27,Newark Firehouse,40.720989,-74.192892,2/27/2020
38,0.041,17,2020,3,1,Newark Firehouse,40.720989,-74.192892,3/1/2020
36,0.039,17,2020,3,4,Newark Firehouse,40.720989,-74.192892,3/4/2020
37,0.04,17,2020,3,7,Newark Firehouse,40.720989,-74.192892,3/7/2020
31,0.034,17,2020,3,10,Newark Firehouse,40.720989,-74.192892,3/10/2020
31,0.034,17,2020,3,16,Newark Firehouse,40.720989,-74.192892,3/16/2020
39,0.042,17,2020,7,5,Newark Firehouse,40.720989,-74.192892,7/5/2020
28,0.03,17,2020,7,8,Newark Firehouse,40.720989,-74.192892,7/8/2020
37,0.04,17,2020,7,11,Newark Firehouse,40.720989,-74.192892,7/11/2020
30,0.032,17,2020,7,14,Newark Firehouse,40.720989,-74.192892,7/14/2020
36,0.039,17,2020,7,17,Newark Firehouse,40.720989,-74.192892,7/17/2020
50,0.054,17,2020,7,20,Newark Firehouse,40.720989,-74.192892,7/20/2020
46,0.05,17,2020,7,23,Newark Firehouse,40.720989,-74.192892,7/23/2020
54,0.056,17,2020,7,26,Newark Firehouse,40.720989,-74.192892,7/26/2020
74,0.062,17,2020,7,29,Newark Firehouse,40.720989,-74.192892,7/29/2020
71,0.061,17,2020,8,1,Newark Firehouse,40.720989,-74.192892,8/1/2020
25,0.027,17,2020,8,4,Newark Firehouse,40.720989,-74.192892,8/4/2020
46,0.05,17,2020,8,7,Newark Firehouse,40.720989,-74.192892,8/7/2020
84,0.065,17,2020,8,10,Newark Firehouse,40.720989,-74.192892,8/10/2020
32,0.035,17,2020,8,13,Newark Firehouse,40.720989,-74.192892,8/13/2020
19,0.02,17,2020,8,16,Newark Firehouse,40.720989,-74.192892,8/16/2020
28,0.03,17,2020,8,19,Newark Firehouse,40.720989,-74.192892,8/19/2020
44,0.047,17,2020,8,22,Newark Firehouse,40.720989,-74.192892,8/22/2020
50,0.054,17,2020,8,25,Newark Firehouse,40.720989,-74.192892,8/25/2020
39,0.042,17,2020,8,28,Newark Firehouse,40.720989,-74.192892,8/28/2020
44,0.047,17,2020,9,3,Newark Firehouse,40.720989,-74.192892,9/3/2020
48,0.052,17,2020,9,6,Newark Firehouse,40.720989,-74.192892,9/6/2020
20,0.022,17,2020,9,9,Newark Firehouse,40.720989,-74.192892,9/9/2020
26,0.028,17,2020,9,12,Newark Firehouse,40.720989,-74.192892,9/12/2020
18,0.019,17,2020,9,15,Newark Firehouse,40.720989,-74.192892,9/15/2020
27,0.029,17,2020,9,18,Newark Firehouse,40.720989,-74.192892,9/18/2020
29,0.031,17,2020,9,21,Newark Firehouse,40.720989,-74.192892,9/21/2020
37,0.04,17,2020,9,24,Newark Firehouse,40.720989,-74.192892,9/24/2020
31,0.033,17,2020,9,27,Newark Firehouse,40.720989,-74.192892,9/27/2020
29,0.031,17,2020,9,30,Newark Firehouse,40.720989,-74.192892,9/30/2020
29,0.031,17,2020,10,3,Newark Firehouse,40.720989,-74.192892,10/3/2020
39,0.042,17,2020,10,6,Newark Firehouse,40.720989,-74.192892,10/6/2020
31,0.034,17,2020,10,9,Newark Firehouse,40.720989,-74.192892,10/9/2020
19,0.021,17,2020,10,12,Newark Firehouse,40.720989,-74.192892,10/12/2020
37,0.04,17,2020,10,15,Newark Firehouse,40.720989,-74.192892,10/15/2020
26,0.028,17,2020,10,18,Newark Firehouse,40.720989,-74.192892,10/18/2020
8,0.009,17,2020,10,21,Newark Firehouse,40.720989,-74.192892,10/21/2020
18,0.019,17,2020,10,24,Newark Firehouse,40.720989,-74.192892,10/24/2020
16,0.017,17,2020,10,27,Newark Firehouse,40.720989,-74.192892,10/27/2020
17,0.018,17,2020,10,30,Newark Firehouse,40.720989,-74.192892,10/30/2020
31,0.033,17,2020,11,2,Newark Firehouse,40.720989,-74.192892,11/2/2020
30,0.032,17,2020,11,5,Newark Firehouse,40.720989,-74.192892,11/5/2020
22,0.024,17,2020,11,8,Newark Firehouse,40.720989,-74.192892,11/8/2020
11,0.012,17,2020,11,11,Newark Firehouse,40.720989,-74.192892,11/11/2020
30,0.032,17,2020,11,17,Newark Firehouse,40.720989,-74.192892,11/17/2020
22,0.024,17,2020,11,29,Newark Firehouse,40.720989,-74.192892,11/29/2020
19,0.021,17,2020,12,2,Newark Firehouse,40.720989,-74.192892,12/2/2020
23,0.025,17,2020,12,5,Newark Firehouse,40.720989,-74.192892,12/5/2020
19,0.02,17,2020,12,14,Newark Firehouse,40.720989,-74.192892,12/14/2020
27,0.029,17,2020,12,17,Newark Firehouse,40.720989,-74.192892,12/17/2020
19,0.021,17,2020,12,26,Newark Firehouse,40.720989,-74.192892,12/26/2020
31,0.033,17,2020,12,29,Newark Firehouse,40.720989,-74.192892,12/29/2020
25,0.027,17,2020,1,4,QUEENS COLLEGE 2,40.73614,-73.82153,1/4/2020
12,0.013,17,2020,1,10,QUEENS COLLEGE 2,40.73614,-73.82153,1/10/2020
10,0.011,17,2020,1,22,QUEENS COLLEGE 2,40.73614,-73.82153,1/22/2020
31,0.034,17,2020,1,28,QUEENS COLLEGE 2,40.73614,-73.82153,1/28/2020
20,0.022,17,2020,2,3,QUEENS COLLEGE 2,40.73614,-73.82153,2/3/2020
30,0.032,17,2020,2,9,QUEENS COLLEGE 2,40.73614,-73.82153,2/9/2020
26,0.028,17,2020,2,15,QUEENS COLLEGE 2,40.73614,-73.82153,2/15/2020
31,0.033,17,2020,2,21,QUEENS COLLEGE 2,40.73614,-73.82153,2/21/2020
33,0.036,17,2020,2,27,QUEENS COLLEGE 2,40.73614,-73.82153,2/27/2020
35,0.038,17,2020,3,4,QUEENS COLLEGE 2,40.73614,-73.82153,3/4/2020
39,0.042,14,2020,6,8,QUEENS COLLEGE 2,40.73614,-73.82153,6/8/2020
34,0.037,17,2020,6,14,QUEENS COLLEGE 2,40.73614,-73.82153,6/14/2020
44,0.047,17,2020,6,20,QUEENS COLLEGE 2,40.73614,-73.82153,6/20/2020
87,0.066,17,2020,6,26,QUEENS COLLEGE 2,40.73614,-73.82153,6/26/2020
58,0.057,17,2020,7,2,QUEENS COLLEGE 2,40.73614,-73.82153,7/2/2020
31,0.033,17,2020,7,8,QUEENS COLLEGE 2,40.73614,-73.82153,7/8/2020
34,0.037,17,2020,7,14,QUEENS COLLEGE 2,40.73614,-73.82153,7/14/2020
74,0.062,17,2020,7,26,QUEENS COLLEGE 2,40.73614,-73.82153,7/26/2020
74,0.062,17,2020,8,1,QUEENS COLLEGE 2,40.73614,-73.82153,8/1/2020
64,0.059,17,2020,8,7,QUEENS COLLEGE 2,40.73614,-73.82153,8/7/2020
38,0.041,17,2020,8,13,QUEENS COLLEGE 2,40.73614,-73.82153,8/13/2020
37,0.04,14,2020,8,19,QUEENS COLLEGE 2,40.73614,-73.82153,8/19/2020
64,0.059,17,2020,8,25,QUEENS COLLEGE 2,40.73614,-73.82153,8/25/2020
28,0.03,17,2020,8,31,QUEENS COLLEGE 2,40.73614,-73.82153,8/31/2020
67,0.06,17,2020,9,6,QUEENS COLLEGE 2,40.73614,-73.82153,9/6/2020
29,0.031,17,2020,9,12,QUEENS COLLEGE 2,40.73614,-73.82153,9/12/2020
29,0.031,17,2020,9,18,QUEENS COLLEGE 2,40.73614,-73.82153,9/18/2020
34,0.037,17,2020,9,24,QUEENS COLLEGE 2,40.73614,-73.82153,9/24/2020
40,0.043,17,2020,10,6,QUEENS COLLEGE 2,40.73614,-73.82153,10/6/2020
28,0.03,17,2020,10,12,QUEENS COLLEGE 2,40.73614,-73.82153,10/12/2020
31,0.034,17,2020,10,18,QUEENS COLLEGE 2,40.73614,-73.82153,10/18/2020
19,0.02,17,2020,10,24,QUEENS COLLEGE 2,40.73614,-73.82153,10/24/2020
19,0.021,17,2020,10,30,QUEENS COLLEGE 2,40.73614,-73.82153,10/30/2020
15,0.016,17,2020,11,11,QUEENS COLLEGE 2,40.73614,-73.82153,11/11/2020
29,0.031,17,2020,11,17,QUEENS COLLEGE 2,40.73614,-73.82153,11/17/2020
25,0.027,17,2020,11,23,QUEENS COLLEGE 2,40.73614,-73.82153,11/23/2020
19,0.021,13,2020,11,29,QUEENS COLLEGE 2,40.73614,-73.82153,11/29/2020
21,0.023,17,2020,12,5,QUEENS COLLEGE 2,40.73614,-73.82153,12/5/2020
20,0.022,17,2020,12,11,QUEENS COLLEGE 2,40.73614,-73.82153,12/11/2020
24,0.026,17,2020,12,17,QUEENS COLLEGE 2,40.73614,-73.82153,12/17/2020
19,0.021,17,2020,12,23,QUEENS COLLEGE 2,40.73614,-73.82153,12/23/2020
30,0.032,17,2020,12,29,QUEENS COLLEGE 2,40.73614,-73.82153,12/29/2020
