DMax Ozone,Ozone AQI,OZONE-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
0.004,4,17,2018,1,2,SEATTLE - BEACON HILL,47.568236,-122.308628,1/2/2018
0.032,30,17,2018,1,11,SEATTLE - BEACON HILL,47.568236,-122.308628,1/11/2018
0.003,3,17,2018,1,14,SEATTLE - BEACON HILL,47.568236,-122.308628,1/14/2018
0.036,33,17,2018,1,20,SEATTLE - BEACON HILL,47.568236,-122.308628,1/20/2018
0.027,25,17,2018,1,23,SEATTLE - BEACON HILL,47.568236,-122.308628,1/23/2018
0.03,28,17,2018,1,26,SEATTLE - BEACON HILL,47.568236,-122.308628,1/26/2018
0.017,16,17,2018,2,1,SEATTLE - BEACON HILL,47.568236,-122.308628,2/1/2018
0.017,16,17,2018,2,7,SEATTLE - BEACON HILL,47.568236,-122.308628,2/7/2018
0.021,19,17,2018,2,10,SEATTLE - BEACON HILL,47.568236,-122.308628,2/10/2018
0.031,29,17,2018,2,13,SEATTLE - BEACON HILL,47.568236,-122.308628,2/13/2018
0.031,29,17,2018,2,16,SEATTLE - BEACON HILL,47.568236,-122.308628,2/16/2018
0.037,34,17,2018,2,19,SEATTLE - BEACON HILL,47.568236,-122.308628,2/19/2018
0.035,32,17,2018,2,22,SEATTLE - BEACON HILL,47.568236,-122.308628,2/22/2018
0.038,35,17,2018,2,25,SEATTLE - BEACON HILL,47.568236,-122.308628,2/25/2018
0.032,30,17,2018,2,28,SEATTLE - BEACON HILL,47.568236,-122.308628,2/28/2018
0.031,29,17,2018,3,3,SEATTLE - BEACON HILL,47.568236,-122.308628,3/3/2018
0.032,30,17,2018,3,6,SEATTLE - BEACON HILL,47.568236,-122.308628,3/6/2018
0.037,34,17,2018,3,9,SEATTLE - BEACON HILL,47.568236,-122.308628,3/9/2018
0.042,39,17,2018,3,12,SEATTLE - BEACON HILL,47.568236,-122.308628,3/12/2018
0.032,30,17,2018,3,15,SEATTLE - BEACON HILL,47.568236,-122.308628,3/15/2018
0.038,35,17,2018,3,18,SEATTLE - BEACON HILL,47.568236,-122.308628,3/18/2018
0.021,19,17,2018,3,21,SEATTLE - BEACON HILL,47.568236,-122.308628,3/21/2018
0.039,36,17,2018,3,24,SEATTLE - BEACON HILL,47.568236,-122.308628,3/24/2018
0.036,33,17,2018,3,27,SEATTLE - BEACON HILL,47.568236,-122.308628,3/27/2018
0.035,32,17,2018,3,30,SEATTLE - BEACON HILL,47.568236,-122.308628,3/30/2018
0.039,36,17,2018,4,2,SEATTLE - BEACON HILL,47.568236,-122.308628,4/2/2018
0.018,17,17,2018,4,5,SEATTLE - BEACON HILL,47.568236,-122.308628,4/5/2018
0.045,42,17,2018,4,11,SEATTLE - BEACON HILL,47.568236,-122.308628,4/11/2018
0.035,32,17,2018,4,14,SEATTLE - BEACON HILL,47.568236,-122.308628,4/14/2018
0.041,38,17,2018,4,17,SEATTLE - BEACON HILL,47.568236,-122.308628,4/17/2018
0.043,40,17,2018,4,20,SEATTLE - BEACON HILL,47.568236,-122.308628,4/20/2018
0.039,36,17,2018,4,23,SEATTLE - BEACON HILL,47.568236,-122.308628,4/23/2018
0.043,40,17,2018,4,26,SEATTLE - BEACON HILL,47.568236,-122.308628,4/26/2018
0.034,31,17,2018,5,2,SEATTLE - BEACON HILL,47.568236,-122.308628,5/2/2018
0.029,27,17,2018,5,5,SEATTLE - BEACON HILL,47.568236,-122.308628,5/5/2018
0.033,31,17,2018,5,8,SEATTLE - BEACON HILL,47.568236,-122.308628,5/8/2018
0.031,29,17,2018,5,11,SEATTLE - BEACON HILL,47.568236,-122.308628,5/11/2018
0.044,41,17,2018,5,14,SEATTLE - BEACON HILL,47.568236,-122.308628,5/14/2018
0.032,30,17,2018,5,17,SEATTLE - BEACON HILL,47.568236,-122.308628,5/17/2018
0.038,35,17,2018,5,23,SEATTLE - BEACON HILL,47.568236,-122.308628,5/23/2018
0.037,34,17,2018,5,26,SEATTLE - BEACON HILL,47.568236,-122.308628,5/26/2018
0.03,28,17,2018,5,29,SEATTLE - BEACON HILL,47.568236,-122.308628,5/29/2018
0.037,34,17,2018,6,1,SEATTLE - BEACON HILL,47.568236,-122.308628,6/1/2018
0.034,31,17,2018,6,4,SEATTLE - BEACON HILL,47.568236,-122.308628,6/4/2018
0.044,41,17,2018,6,7,SEATTLE - BEACON HILL,47.568236,-122.308628,6/7/2018
0.03,28,17,2018,6,10,SEATTLE - BEACON HILL,47.568236,-122.308628,6/10/2018
0.026,24,17,2018,6,13,SEATTLE - BEACON HILL,47.568236,-122.308628,6/13/2018
0.037,34,17,2018,6,16,SEATTLE - BEACON HILL,47.568236,-122.308628,6/16/2018
0.028,26,17,2018,6,19,SEATTLE - BEACON HILL,47.568236,-122.308628,6/19/2018
0.02,19,17,2018,6,22,SEATTLE - BEACON HILL,47.568236,-122.308628,6/22/2018
0.03,28,17,2018,6,25,SEATTLE - BEACON HILL,47.568236,-122.308628,6/25/2018
0.024,22,17,2018,6,28,SEATTLE - BEACON HILL,47.568236,-122.308628,6/28/2018
0.026,24,17,2018,7,7,SEATTLE - BEACON HILL,47.568236,-122.308628,7/7/2018
0.029,27,17,2018,7,10,SEATTLE - BEACON HILL,47.568236,-122.308628,7/10/2018
0.032,30,17,2018,7,13,SEATTLE - BEACON HILL,47.568236,-122.308628,7/13/2018
0.036,33,17,2018,7,16,SEATTLE - BEACON HILL,47.568236,-122.308628,7/16/2018
0.022,20,17,2018,7,19,SEATTLE - BEACON HILL,47.568236,-122.308628,7/19/2018
0.036,33,17,2018,7,22,SEATTLE - BEACON HILL,47.568236,-122.308628,7/22/2018
0.039,36,17,2018,7,25,SEATTLE - BEACON HILL,47.568236,-122.308628,7/25/2018
0.024,22,17,2018,7,28,SEATTLE - BEACON HILL,47.568236,-122.308628,7/28/2018
0.03,28,17,2018,7,31,SEATTLE - BEACON HILL,47.568236,-122.308628,7/31/2018
0.021,19,17,2018,8,3,SEATTLE - BEACON HILL,47.568236,-122.308628,8/3/2018
0.023,21,17,2018,8,6,SEATTLE - BEACON HILL,47.568236,-122.308628,8/6/2018
0.042,39,17,2018,8,9,SEATTLE - BEACON HILL,47.568236,-122.308628,8/9/2018
0.033,31,17,2018,8,15,SEATTLE - BEACON HILL,47.568236,-122.308628,8/15/2018
0.023,21,17,2018,8,30,SEATTLE - BEACON HILL,47.568236,-122.308628,8/30/2018
0.027,25,17,2018,9,5,SEATTLE - BEACON HILL,47.568236,-122.308628,9/5/2018
0.022,20,17,2018,10,14,SEATTLE - BEACON HILL,47.568236,-122.308628,10/14/2018
0.008,7,17,2018,10,17,SEATTLE - BEACON HILL,47.568236,-122.308628,10/17/2018
0.021,19,17,2018,10,20,SEATTLE - BEACON HILL,47.568236,-122.308628,10/20/2018
0.011,10,17,2018,10,23,SEATTLE - BEACON HILL,47.568236,-122.308628,10/23/2018
0.03,28,17,2018,10,26,SEATTLE - BEACON HILL,47.568236,-122.308628,10/26/2018
0.021,19,17,2018,10,29,SEATTLE - BEACON HILL,47.568236,-122.308628,10/29/2018
0.031,29,17,2018,11,1,SEATTLE - BEACON HILL,47.568236,-122.308628,11/1/2018
0.018,17,17,2018,11,7,SEATTLE - BEACON HILL,47.568236,-122.308628,11/7/2018
0.016,15,17,2018,11,10,SEATTLE - BEACON HILL,47.568236,-122.308628,11/10/2018
0.018,17,17,2018,11,16,SEATTLE - BEACON HILL,47.568236,-122.308628,11/16/2018
0.001,1,17,2018,11,19,SEATTLE - BEACON HILL,47.568236,-122.308628,11/19/2018
0.029,27,17,2018,11,22,SEATTLE - BEACON HILL,47.568236,-122.308628,11/22/2018
0.005,5,17,2018,11,25,SEATTLE - BEACON HILL,47.568236,-122.308628,11/25/2018
0.013,12,17,2018,11,28,SEATTLE - BEACON HILL,47.568236,-122.308628,11/28/2018
0.018,17,17,2018,12,4,SEATTLE - BEACON HILL,47.568236,-122.308628,12/4/2018
0.02,19,17,2018,12,7,SEATTLE - BEACON HILL,47.568236,-122.308628,12/7/2018
0.019,18,17,2018,12,13,SEATTLE - BEACON HILL,47.568236,-122.308628,12/13/2018
0.018,17,17,2018,12,19,SEATTLE - BEACON HILL,47.568236,-122.308628,12/19/2018
0.028,26,17,2018,12,22,SEATTLE - BEACON HILL,47.568236,-122.308628,12/22/2018
0.011,10,17,2018,12,25,SEATTLE - BEACON HILL,47.568236,-122.308628,12/25/2018
0.029,27,17,2018,12,28,SEATTLE - BEACON HILL,47.568236,-122.308628,12/28/2018
0.037,34,17,2020,1,1,SEATTLE - BEACON HILL,47.568236,-122.308628,1/1/2020
0.034,31,17,2020,1,7,SEATTLE - BEACON HILL,47.568236,-122.308628,1/7/2020
0.032,30,17,2020,1,10,SEATTLE - BEACON HILL,47.568236,-122.308628,1/10/2020
0.026,24,14,2020,1,13,SEATTLE - BEACON HILL,47.568236,-122.308628,1/13/2020
0.029,27,17,2020,1,16,SEATTLE - BEACON HILL,47.568236,-122.308628,1/16/2020
0.031,29,17,2020,1,19,SEATTLE - BEACON HILL,47.568236,-122.308628,1/19/2020
0.019,18,17,2020,1,22,SEATTLE - BEACON HILL,47.568236,-122.308628,1/22/2020
0.021,19,17,2020,1,25,SEATTLE - BEACON HILL,47.568236,-122.308628,1/25/2020
0.024,22,17,2020,1,28,SEATTLE - BEACON HILL,47.568236,-122.308628,1/28/2020
0.034,31,17,2020,1,31,SEATTLE - BEACON HILL,47.568236,-122.308628,1/31/2020
0.03,28,17,2020,2,3,SEATTLE - BEACON HILL,47.568236,-122.308628,2/3/2020
0.02,19,17,2020,2,6,SEATTLE - BEACON HILL,47.568236,-122.308628,2/6/2020
0.021,19,17,2020,2,9,SEATTLE - BEACON HILL,47.568236,-122.308628,2/9/2020
0.033,31,17,2020,2,15,SEATTLE - BEACON HILL,47.568236,-122.308628,2/15/2020
0.026,24,17,2020,2,18,SEATTLE - BEACON HILL,47.568236,-122.308628,2/18/2020
0.028,26,17,2020,2,21,SEATTLE - BEACON HILL,47.568236,-122.308628,2/21/2020
0.036,33,17,2020,2,24,SEATTLE - BEACON HILL,47.568236,-122.308628,2/24/2020
0.022,20,17,2020,2,27,SEATTLE - BEACON HILL,47.568236,-122.308628,2/27/2020
0.032,30,17,2020,3,1,SEATTLE - BEACON HILL,47.568236,-122.308628,3/1/2020
0.034,31,17,2020,3,4,SEATTLE - BEACON HILL,47.568236,-122.308628,3/4/2020
0.031,29,17,2020,8,7,SEATTLE - BEACON HILL,47.568236,-122.308628,8/7/2020
0.029,27,17,2020,8,10,SEATTLE - BEACON HILL,47.568236,-122.308628,8/10/2020
0.039,36,17,2020,8,13,SEATTLE - BEACON HILL,47.568236,-122.308628,8/13/2020
0.051,47,17,2020,8,16,SEATTLE - BEACON HILL,47.568236,-122.308628,8/16/2020
0.03,28,17,2020,8,19,SEATTLE - BEACON HILL,47.568236,-122.308628,8/19/2020
0.033,31,17,2020,8,22,SEATTLE - BEACON HILL,47.568236,-122.308628,8/22/2020
0.027,25,17,2020,8,25,SEATTLE - BEACON HILL,47.568236,-122.308628,8/25/2020
0.027,25,17,2020,8,28,SEATTLE - BEACON HILL,47.568236,-122.308628,8/28/2020
0.029,27,17,2020,8,31,SEATTLE - BEACON HILL,47.568236,-122.308628,8/31/2020
0.028,26,17,2020,9,3,SEATTLE - BEACON HILL,47.568236,-122.308628,9/3/2020
0.027,25,17,2020,9,6,SEATTLE - BEACON HILL,47.568236,-122.308628,9/6/2020
0.057,58,17,2020,9,9,SEATTLE - BEACON HILL,47.568236,-122.308628,9/9/2020
0.014,13,17,2020,9,18,SEATTLE - BEACON HILL,47.568236,-122.308628,9/18/2020
0.021,19,17,2020,9,21,SEATTLE - BEACON HILL,47.568236,-122.308628,9/21/2020
0.026,24,17,2020,9,24,SEATTLE - BEACON HILL,47.568236,-122.308628,9/24/2020
0.029,27,17,2020,9,27,SEATTLE - BEACON HILL,47.568236,-122.308628,9/27/2020
0.002,2,17,2020,9,30,SEATTLE - BEACON HILL,47.568236,-122.308628,9/30/2020
0.01,9,17,2020,10,3,SEATTLE - BEACON HILL,47.568236,-122.308628,10/3/2020
0.017,16,17,2020,10,6,SEATTLE - BEACON HILL,47.568236,-122.308628,10/6/2020
0.023,21,17,2020,10,9,SEATTLE - BEACON HILL,47.568236,-122.308628,10/9/2020
0.031,29,17,2020,10,12,SEATTLE - BEACON HILL,47.568236,-122.308628,10/12/2020
0.023,21,17,2020,10,15,SEATTLE - BEACON HILL,47.568236,-122.308628,10/15/2020
0.026,24,17,2020,10,18,SEATTLE - BEACON HILL,47.568236,-122.308628,10/18/2020
0.026,24,17,2020,10,21,SEATTLE - BEACON HILL,47.568236,-122.308628,10/21/2020
0.028,26,17,2020,10,24,SEATTLE - BEACON HILL,47.568236,-122.308628,10/24/2020
0.017,16,13,2020,10,27,SEATTLE - BEACON HILL,47.568236,-122.308628,10/27/2020
0.033,31,17,2020,11,8,SEATTLE - BEACON HILL,47.568236,-122.308628,11/8/2020
0.013,12,17,2020,11,11,SEATTLE - BEACON HILL,47.568236,-122.308628,11/11/2020
0.029,27,17,2020,11,14,SEATTLE - BEACON HILL,47.568236,-122.308628,11/14/2020
0.034,31,17,2020,11,17,SEATTLE - BEACON HILL,47.568236,-122.308628,11/17/2020
0.017,16,17,2020,11,20,SEATTLE - BEACON HILL,47.568236,-122.308628,11/20/2020
0.015,14,17,2020,11,23,SEATTLE - BEACON HILL,47.568236,-122.308628,11/23/2020
0.024,22,17,2020,11,26,SEATTLE - BEACON HILL,47.568236,-122.308628,11/26/2020
0.01,9,17,2020,11,29,SEATTLE - BEACON HILL,47.568236,-122.308628,11/29/2020
0.012,11,17,2020,12,2,SEATTLE - BEACON HILL,47.568236,-122.308628,12/2/2020
0.027,25,17,2020,12,5,SEATTLE - BEACON HILL,47.568236,-122.308628,12/5/2020
0.029,27,17,2020,12,8,SEATTLE - BEACON HILL,47.568236,-122.308628,12/8/2020
0.025,23,15,2020,12,14,SEATTLE - BEACON HILL,47.568236,-122.308628,12/14/2020
0.027,25,17,2020,12,17,SEATTLE - BEACON HILL,47.568236,-122.308628,12/17/2020
0.034,31,17,2020,12,20,SEATTLE - BEACON HILL,47.568236,-122.308628,12/20/2020
0.033,31,13,2020,12,26,SEATTLE - BEACON HILL,47.568236,-122.308628,12/26/2020
0.004,4,15,2020,12,29,SEATTLE - BEACON HILL,47.568236,-122.308628,12/29/2020
